,Title,Theme,Sub Theme,Latitude,Longitude,Green Space,id,Walking,Cardio,Sightseeing,Rating,Content
211,Carlton Baths,Leisure/Recreation,Indoor Recreation Facility,144.971696548624,-37.7934377042609,True,1263,False,True,False,0,Go for a walk to
212,City Baths,Leisure/Recreation,Major Sports & Recreation Facility,144.963189789721,-37.8071585350561,True,1264,False,True,False,0,Go for a walk to
213,Westgate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),144.908824792698,-37.8314918578874,True,1265,True,False,False,0,Go for a walk to
215,Cooks' Cottage,Place Of Assembly,Art Gallery/Museum,144.979471339826,-37.8144604899837,True,1266,False,False,True,0,Go for a walk to
218,Westpac Centre,Leisure/Recreation,Major Sports & Recreation Facility,144.979720306309,-37.8242456858593,True,1267,False,True,False,0,Go for a walk to
219,Royal Exhibition Building,Place Of Assembly,Art Gallery/Museum,144.971521914952,-37.80460262432,True,1268,False,False,True,0,Go for a walk to
221,Etihad Stadium,Leisure/Recreation,Major Sports & Recreation Facility,144.947496254547,-37.8161760471742,True,1269,False,True,False,0,Go for a walk to
222,Eureka Skydeck 88,Leisure/Recreation,Observation Tower/Wheel,144.964622218598,-37.8216187583314,True,1270,False,False,True,0,Go for a walk to
227,Sandridge Rail Bridge,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),144.96298113724,-37.8201763042794,True,1271,True,False,False,0,Go for a walk to
230,Australian Centre For The Moving Image (ACMI),Place Of Assembly,Art Gallery/Museum,144.969070431323,-37.8176107327202,True,1272,False,False,True,0,Go for a walk to
236,Lincoln Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),144.962760852233,-37.8027919689732,True,1273,True,False,False,0,Go for a walk to
240,The Museum Of Australian Chinese History,Place Of Assembly,Art Gallery/Museum,144.96923385414,-37.8107686127655,True,1274,False,False,True,0,Go for a walk to
